school_name,geocode_flag,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,n_agencies_loaded
B C Ed Tech Center,review_recommended,Beaufort,Alternative Education,Cooperative Innovative HS,Traditional,35.55269320868362,-77.0561256831225,45809.9,0,0.0,False,21
S W Snowden Elementary,review_recommended,Beaufort,Regular School,None,Traditional,35.3065164967926,-76.79187653632721,31347.9,0,0.0,False,21
Chocowinity Primary,review_recommended,Beaufort,Regular School,None,Traditional,35.49888118085618,-77.09386554505484,39666.2,0,0.0,False,21
Bath Elementary,ok,Beaufort,Regular School,None,Traditional,35.475802420993084,-76.81072812032252,45436.8,0,0.0,False,21
AydenGrifton High,review_recommended,Pitt,Regular School,None,Traditional,35.430174832382185,-77.43121594642093,43835.6,0,0.0,False,21
Ayden Middle,review_recommended,Pitt,Regular School,None,Traditional,35.47174818948822,-77.43452414142612,44303.5,0,0.0,False,21
A G Cox Middle,review_recommended,Pitt,Regular School,None,Traditional,35.52463165972699,-77.40086221408913,48823.7,0,0.0,False,21
Elmhurst Elementary,ok,Pitt,Regular School,None,Traditional,35.59592076775097,-77.36295267591984,51688.7,0,0.0,False,21
Falkland Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.66976147353699,-77.48749042836589,37958.4,0,0.0,False,21
Chicod Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.46405940508717,-77.27332149729553,39142.3,0,0.0,False,21
Grifton Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.37232367409458,-77.43221116321303,39687.4,0,0.0,False,21
Farmville Middle,review_recommended,Pitt,Regular School,None,Traditional,35.5934459869167,-77.57233663000093,38423.2,0,0.0,False,21
Farmville Central High,review_recommended,Pitt,Regular School,None,Traditional,35.59385636346918,-77.56870098973204,38715.7,0,0.0,False,21
G R Whitfield,review_recommended,Pitt,Regular School,None,Traditional,35.56426584305307,-77.18128790439,47513.4,0,0.0,False,21
North Pitt High,ok,Pitt,Regular School,None,Traditional,35.74748728576446,-77.3628832144103,41580.6,0,0.0,False,21
Bethel Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.80613635564792,-77.37081026177293,38079.7,0,0.0,False,21
Pactolus Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.62277015480485,-77.2238909029704,54610.2,0,0.0,False,21
Stokes Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.714962259741036,-77.26747386801692,50903.7,0,0.0,False,21
SmithfieldSelma High,review_recommended,Johnston,Regular School,None,Traditional,35.52951893820697,-78.32420820981685,26062.0,0,0.0,False,21
Smithfield Middle,review_recommended,Johnston,Regular School,None,Traditional,35.52885808959661,-78.33500251065344,26922.4,0,0.0,False,21
Selma Middle School,ok,Johnston,Regular School,None,Traditional,35.55014957317161,-78.27466733676884,23297.3,0,0.0,False,21
South Campus Community High,review_recommended,Johnston,Alternative Education,None,Traditional,35.50200011231023,-78.34025343378264,26306.4,0,0.0,False,21
Princeton High,review_recommended,Johnston,Regular School,None,Traditional,35.467992841903616,-78.15754095325651,9469.1,0,0.0,False,21
MicroPine Level Elementary,ok,Johnston,Regular School,None,Traditional,35.512284759332665,-78.24788475364701,19016.7,0,0.0,False,21
Four Oaks Elementary,review_recommended,Johnston,Regular School,None,Traditional,35.45038070889593,-78.4336642284773,33626.0,0,0.0,False,21
North Johnston Middle,review_recommended,Johnston,Regular School,None,Traditional,35.55881269960739,-78.20165021094748,18924.3,0,0.0,False,21
North Johnston High,review_recommended,Johnston,Regular School,None,Traditional,35.571053295080844,-78.18449666172855,19014.6,0,0.0,False,21
Meadow School,review_recommended,Johnston,Regular School,None,Traditional,35.31985346242134,-78.45298558354742,37380.1,0,0.0,False,21
Wilson's Mills Elementary,review_recommended,Johnston,Regular School,None,Traditional,35.58383429579795,-78.35919290795832,31756.6,0,0.0,False,21
GlendaleKenly Elementary,review_recommended,Johnston,Regular School,None,Traditional,35.62235087815694,-78.15598424080257,22800.6,0,0.0,False,21
Belvoir Elementary,review_recommended,Pitt,Regular School,None,Traditional,35.667735580818565,-77.41763709546603,42606.0,0,0.0,False,21
South Johnston High,review_recommended,Johnston,Regular School,None,Traditional,35.40908833203664,-78.50150671166816,39786.5,0,0.0,False,21
Four Oaks Middle,review_recommended,Johnston,Regular School,None,Traditional,35.45078541344616,-78.43222649576283,33498.7,0,0.0,False,21
Elizabethtown Primary,ok,Bladen,Regular School,None,Traditional,34.621255910340594,-78.60471561523518,73184.4,0,0.0,False,21
B T Washington Primary,ok,Bladen,Regular School,None,Traditional,34.50085643095786,-78.66694839222177,71800.5,0,0.0,False,21
Clarkton School of Discovery,review_recommended,Bladen,Regular School,None,Traditional,34.49413179952507,-78.65284609542474,70317.2,0,0.0,False,21
Bolivia Elementary,ok,Brunswick,Regular School,None,Traditional,34.07002157309799,-78.14433288097567,22939.5,0,0.0,False,21
North Brunswick High,ok,Brunswick,Regular School,None,Traditional,34.2405751552508,-78.02402902476233,6788.9,0,0.0,False,21
Leland Middle,ok,Brunswick,Regular School,None,Traditional,34.2365380237116,-78.0337598767017,7713.1,0,0.0,False,21
Lincoln Elementary,review_recommended,Brunswick,Regular School,None,Traditional,34.26165119892205,-78.04284608273366,8769.8,0,0.0,False,21
Southport Elementary,ok,Brunswick,Regular School,None,Traditional,33.925345113240304,-78.03178979965992,27129.4,0,0.0,False,21
South Brunswick Middle,ok,Brunswick,Regular School,None,Traditional,34.00856799700595,-78.04818475124691,20451.1,0,0.0,False,21
South Brunswick High,ok,Brunswick,Regular School,None,Traditional,34.01140682410959,-78.04245602532446,19858.1,0,0.0,False,21
Supply Elementary,ok,Brunswick,Regular School,None,Traditional,34.02444932681002,-78.2582661135885,34516.5,0,0.0,False,21
Bertie High,review_recommended,Bertie,Regular School,None,Traditional,36.05072740979276,-76.9717907772264,69744.5,0,0.0,False,21
Aulander Elementary,review_recommended,Bertie,Regular School,None,Traditional,36.21456804238958,-77.10628335008161,60428.1,0,0.0,False,21
West Bertie Elementary,ok,Bertie,Regular School,None,Traditional,36.157544976737505,-77.21500576552893,49279.8,0,0.0,False,21
Colerain Elementary,review_recommended,Bertie,Regular School,None,Traditional,36.199628009932525,-76.77165639841044,89309.9,0,0.0,False,21
E B Frink Middle,review_recommended,Lenoir,Regular School,None,Traditional,35.31512055723069,-77.7929840923994,13140.1,0,0.0,False,21
Moss Hill Elementary,ok,Lenoir,Regular School,None,Traditional,35.19514968807006,-77.75287599214955,25320.1,0,0.0,False,21
South Lenoir High,ok,Lenoir,Regular School,None,Traditional,35.14569543718784,-77.70440741505757,32358.8,0,0.0,False,21
Woodington Middle,ok,Lenoir,Regular School,None,Traditional,35.158732375528736,-77.63384470920577,35500.2,0,0.0,False,21
Pink Hill Elementary,ok,Lenoir,Regular School,None,Traditional,35.052938925700445,-77.74567966775156,39460.8,0,0.0,False,21
Southwood Elementary,ok,Lenoir,Regular School,None,Traditional,35.20803938781074,-77.56452564488765,37053.0,0,0.0,False,21
North Lenoir High,review_recommended,Lenoir,Regular School,None,Traditional,35.341710058804786,-77.67937277151432,21517.6,0,0.0,False,21
ContentneaSavannah School,review_recommended,Lenoir,Regular School,None,Traditional,35.31961624761378,-77.52125314062936,36099.6,0,0.0,False,21
Northwest Elementary,ok,Lenoir,Regular School,None,Traditional,35.27798725168045,-77.60342486499906,30303.7,0,0.0,False,21
Banks Elementary,review_recommended,Lenoir,Regular School,None,Traditional,35.28093583130287,-77.67943459864718,23926.1,0,0.0,False,21
Grandy Primary,ok,Camden,Regular School,None,Traditional,36.33324068315288,-76.18264460094328,144218.5,0,0.0,False,21
Camden County High,ok,Camden,Regular School,Cooperative Innovative HS,Traditional,36.327705465678214,-76.1718118299133,145043.6,0,0.0,False,21
Bennett Elementary,review_recommended,Chatham,Regular School,None,Traditional,35.56220745441235,-79.54567906732427,21328.7,0,0.0,False,21
Bonlee Elementary,ok,Chatham,Regular School,None,Traditional,35.64372083975093,-79.42043494063996,31274.9,0,0.0,False,21
Chatham Central High,ok,Chatham,Regular School,None,Traditional,35.61372551613888,-79.39064404688015,34002.7,0,0.0,False,21
Moncure Elementary,review_recommended,Chatham,Regular School,None,Traditional,35.63209706502432,-79.07769554530992,20091.9,0,0.0,False,21
Horton Middle,review_recommended,Chatham,Regular School,None,Traditional,35.71314504459967,-79.17677199947629,17715.6,0,0.0,False,21
Chatham Middle,review_recommended,Chatham,Regular School,None,Traditional,35.70713474616946,-79.44725828664035,30012.0,0,0.0,False,21
Silk Hope Elementary,review_recommended,Chatham,Regular School,None,Traditional,35.780346272102626,-79.36720215640986,26811.4,0,0.0,False,21
J S Waters Elementary,ok,Chatham,Regular School,None,Traditional,35.60216141467531,-79.32474748085171,35396.4,0,0.0,False,21
Northwood High,ok,Chatham,Regular School,None,Traditional,35.75697662512716,-79.17318194870002,13419.5,0,0.0,False,21
Beaver Dam Elementary,review_recommended,Cumberland,Regular School,None,Traditional,34.894645521309606,-78.58071038714193,72976.0,0,0.0,False,21
Raleigh Road Elementary,ok,Cumberland,Regular School,None,Traditional,35.21774379635326,-78.84067863209972,55075.7,0,0.0,False,21
J W Seabrook Elementary,review_recommended,Cumberland,Regular School,None,Traditional,34.986798569421495,-78.75524665464754,79407.8,0,0.0,False,21
Stedman Primary,review_recommended,Cumberland,Regular School,None,Traditional,35.01111094599609,-78.6927317520491,73127.9,0,0.0,False,21
District No 7 Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.15004286649645,-78.70517817373398,63962.3,0,0.0,False,21
Eastover Central Elementary,ok,Cumberland,Regular School,None,Traditional,35.12253425621837,-78.7614267184829,66132.3,0,0.0,False,21
Rockfish Elementary,review_recommended,Cumberland,Regular School,None,Traditional,34.9718250111411,-78.95664607611056,82910.5,0,0.0,False,21
South View Middle,ok,Cumberland,Regular School,None,Traditional,34.98053744837094,-78.92978559661155,81701.4,0,0.0,False,21
Sunnyside Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.02809716730231,-78.7968323391102,76267.8,0,0.0,False,21
Central Elementary,ok,Currituck,Regular School,None,Traditional,36.39119268951877,-76.01228258971736,160580.0,0,0.0,False,21
Currituck County High,review_recommended,Currituck,Regular School,None,Traditional,36.37277868310675,-75.96881648718794,163944.8,0,0.0,False,21
Currituck County Middle,review_recommended,Currituck,Regular School,None,Traditional,36.370848067309346,-75.96842975995705,163933.8,0,0.0,False,21
Moyock Elementary,review_recommended,Currituck,Regular School,None,Traditional,36.524695515220145,-76.17383767664751,150896.8,0,0.0,False,21
Knotts Island Elementary,ok,Currituck,Regular School,None,Traditional,36.51351880114015,-75.91945977021551,172167.2,0,0.0,False,21
W T Griggs Elementary,ok,Currituck,Regular School,None,Traditional,36.27973121077937,-75.89142051137833,166438.2,0,0.0,False,21
Manteo Middle,ok,Dare,Regular School,None,Traditional,35.90443215925254,-75.67194731578532,152417.5,0,0.0,False,21
Manteo Elementary,ok,Dare,Regular School,None,Traditional,35.912267082644235,-75.67646524465304,152584.1,0,0.0,False,21
Dare County Alternative,ok,Dare,Alternative Education,None,Traditional,35.910154335685085,-75.67589195719768,152490.9,0,0.0,False,21
Manteo High,ok,Dare,Regular School,None,Traditional,35.9157501078173,-75.67385726995734,153000.6,0,0.0,False,21
First Flight Elementary,ok,Dare,Regular School,None,Traditional,36.006511774019444,-75.6651868034031,159669.5,0,0.0,False,21
Cape Hatteras Secondary,ok,Dare,Regular School,Cooperative Innovative HS,Traditional,35.26585714527219,-75.55092992012321,136810.3,0,0.0,False,21
Sherwood Githens Middle,review_recommended,Durham,Regular School,None,Traditional,35.9450429963037,-78.981046225434,1016.7,0,0.0,True,21
DPS Hospital School,ok,Durham,Regular School,Hospital,Traditional,36.008504588894866,-78.93654105130527,58.7,26,40.6,True,21
Bunn Elementary,review_recommended,Franklin,Regular School,None,Traditional,35.941397103695365,-78.26400314779634,33112.8,0,0.0,False,21
Bunn High,review_recommended,Franklin,Regular School,None,Traditional,35.955324932329546,-78.24924247916303,31655.6,0,0.0,False,21
Terrell Lane Middle,review_recommended,Franklin,Regular School,None,Traditional,36.10411400792129,-78.2759659706423,25577.8,0,0.0,False,21
Youngsville Elementary,ok,Franklin,Regular School,None,Year Round,36.02293947595685,-78.48053721350347,29643.2,0,0.0,False,21
Central Middle,ok,Gates,Regular School,None,Traditional,36.4352886080486,-76.72766210220793,101112.7,0,0.0,False,21
Gates County Senior High,ok,Gates,Regular School,None,Traditional,36.445768824018046,-76.70570714112016,103390.9,0,0.0,False,21
Gatesville Elementary,review_recommended,Gates,Regular School,None,Traditional,36.41136878094947,-76.75495673422783,97782.3,0,0.0,False,21
Buckland Elementary,ok,Gates,Regular School,None,Traditional,36.46796558863428,-76.76019828510934,100087.0,0,0.0,False,21
T S Cooper Elementary,review_recommended,Gates,Regular School,None,Traditional,36.424290823789946,-76.60814151734246,110489.4,0,0.0,False,21
J R Ingram Jr Elementary,review_recommended,Lee,Regular School,None,Traditional,35.46528235986049,-79.21562462780787,41737.7,0,0.0,False,21
West Lee Middle,review_recommended,Lee,Regular School,None,Traditional,35.468204708617094,-79.21551944325999,41497.7,0,0.0,False,21
Greenwood Elementary,review_recommended,Lee,Regular School,None,Traditional,35.38827040817063,-79.19360601069037,47095.7,0,0.0,False,21
Oakwood Elementary,ok,Caswell,Regular School,None,Traditional,36.416381124992306,-79.33173630188968,29704.9,0,0.0,False,21
N L Dillard Middle,ok,Caswell,Regular School,None,Traditional,36.3995295715478,-79.33339089216194,29190.7,0,0.0,False,21
Bartlett Yancey High,review_recommended,Caswell,Regular School,None,Traditional,36.40366392894189,-79.32744637383809,29795.2,0,0.0,False,21
South Elementary,review_recommended,Caswell,Regular School,None,Traditional,36.32905215295948,-79.2390528966904,28366.7,0,0.0,False,21
North Elementary,ok,Caswell,Regular School,None,Traditional,36.52940796382947,-79.39689087523945,26539.5,0,0.0,False,21
John A Holmes High,ok,Chowan,Regular School,None,Traditional,36.06646759292238,-76.60478242993605,102876.5,0,0.0,False,21
Acme Delco Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.347768881998505,-78.25450217356821,30266.6,0,0.0,False,21
Acme Delco Middle,ok,Columbus,Regular School,None,Traditional,34.315865736600145,-78.21634532273262,25773.7,0,0.0,False,21
Evergreen Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.40749668909803,-78.89882160400013,89199.2,0,0.0,False,21
Chadbourn Elementary,ok,Columbus,Regular School,None,Traditional,34.32536735697548,-78.82060255088001,80669.5,0,0.0,False,21
West Columbus High,review_recommended,Columbus,Regular School,None,Traditional,34.32829152547969,-78.92410962983456,90177.4,0,0.0,False,21
Cerro Gordo Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.3291043612935,-78.93101174403112,90818.5,0,0.0,False,21
South Columbus High,review_recommended,Columbus,Regular School,None,Traditional,34.173892527677474,-78.81694126353827,80247.9,0,0.0,False,21
HallsboroArtesia Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.31099215877856,-78.57908095513066,58403.1,0,0.0,False,21
Hallsboro Middle,review_recommended,Columbus,Regular School,None,Traditional,34.32058866915257,-78.59313511884136,59827.8,0,0.0,False,21
Boys and Girls Homes,ok,Columbus,Regular School,None,Traditional,34.31929195494499,-78.5232227265909,53441.7,0,0.0,False,21
East Columbus High,ok,Columbus,Regular School,None,Traditional,34.33601516899786,-78.50178638054496,51826.5,0,0.0,False,21
Williams Township,review_recommended,Columbus,Regular School,None,Traditional,34.20431198183576,-78.76400701897272,75111.8,0,0.0,False,21
Louisburg Elementary,review_recommended,Franklin,Regular School,None,Traditional,36.07864922067642,-78.30121151898891,27219.4,0,0.0,False,21
Franklinton High,review_recommended,Franklin,Regular School,None,Traditional,36.1042064044974,-78.4572974209643,23014.8,0,0.0,False,21
Edward Best Elementary,review_recommended,Franklin,Regular School,None,Traditional,36.09426184224754,-78.1664668017518,27587.5,0,0.0,False,21
Pollocksville Elementary,ok,Jones,Regular School,None,Traditional,35.00449961337272,-77.22481682469352,15513.2,0,0.0,False,21
Comfort Elementary,ok,Jones,Regular School,None,Traditional,35.0048720347572,-77.5092816262579,23780.2,0,0.0,False,21
Jones Senior High,ok,Jones,Regular School,None,Traditional,35.034053502110815,-77.33354024151288,22549.2,0,0.0,False,21
Jones Middle,ok,Jones,Regular School,None,Traditional,35.067478263289466,-77.34804334381599,22925.8,0,0.0,False,21
Trenton Elementary,ok,Jones,Regular School,None,Traditional,35.06571526700366,-77.347070848534,22880.8,0,0.0,False,21
Maysville Elementary,review_recommended,Jones,Regular School,None,Traditional,34.9047600384897,-77.23739447348406,18262.6,0,0.0,False,21
Riverside High,ok,Martin,Regular School,None,Traditional,35.83659427154724,-77.07129244044694,63305.0,0,0.0,False,21
Williamston Primary,ok,Martin,Regular School,None,Traditional,35.842409132006274,-77.07289126151925,63051.9,0,0.0,False,21
Edna Andrews Elementary,ok,Martin,Regular School,None,Traditional,35.93960490803887,-77.20656302060027,49961.2,0,0.0,False,21
South Creek High,ok,Martin,Regular School,None,Traditional,35.85695010597068,-77.24378376461051,47553.5,0,0.0,False,21
East End Elementary,review_recommended,Martin,Regular School,None,Traditional,35.822951629597746,-77.2428004784814,48479.8,0,0.0,False,21
South Creek Middle,review_recommended,Martin,Regular School,None,Traditional,35.8555526500653,-77.24859362993637,47155.3,0,0.0,False,21
Rodgers Elementary,review_recommended,Martin,Regular School,None,Traditional,35.781477064848474,-77.0771801869427,64150.9,0,0.0,False,21
Cedar Grove Elementary,ok,Nash,Regular School,None,Traditional,36.078508301587256,-77.968865552398,13030.4,0,0.0,False,21
Red Oak Elementary,review_recommended,Nash,Regular School,None,Traditional,36.03956018910961,-77.90418675092671,7005.4,0,0.0,False,21
Bailey Elementary,review_recommended,Nash,Regular School,None,Traditional,35.78173102794099,-78.11465874958823,28760.1,0,0.0,False,21
Middlesex Elementary,review_recommended,Nash,Regular School,None,Traditional,35.78698800601143,-78.21309838431203,35045.5,0,0.0,False,21
Southern Nash Middle,review_recommended,Nash,Regular School,None,Traditional,35.87573790291922,-78.08980808653139,20287.9,0,0.0,False,21
Southern Nash High,ok,Nash,Regular School,None,Traditional,35.851281654786455,-78.08755646473973,21687.4,0,0.0,False,21
Spring Hope Elementary,review_recommended,Nash,Regular School,None,Traditional,35.95126919707169,-78.10924844469473,19110.4,0,0.0,False,21
Coopers Elementary,ok,Nash,Regular School,None,Traditional,35.88533894060489,-77.94845886129804,10478.6,0,0.0,False,21
Northern Nash High,review_recommended,Nash,Regular School,None,Traditional,35.998473031468336,-77.89163015417058,2458.8,0,0.0,True,21
Conway Middle,review_recommended,Northampton,Regular School,None,Traditional,36.438061557710434,-77.22361984137508,63786.4,0,0.0,False,21
Gaston Elementary,review_recommended,Northampton,Regular School,None,Traditional,36.49789365137909,-77.64684630562515,50586.3,0,0.0,False,21
Northampton High East,ok,Northampton,Regular School,None,Traditional,36.42758427152182,-77.31661738390892,57047.2,0,0.0,False,21
Squire Elementary,review_recommended,Northampton,Regular School,None,Traditional,36.50512476439661,-77.66604689915535,51017.5,0,0.0,False,21
Willis Hare Elementary,review_recommended,Northampton,Regular School,None,Traditional,36.478315177990545,-77.1895488547138,69071.6,0,0.0,False,21
Hunters Creek Middle,review_recommended,Onslow,Regular School,None,Traditional,34.739492384585546,-77.33809398665446,2311.5,0,0.0,True,21
Morton Elementary,review_recommended,Onslow,Regular School,None,Traditional,34.76983198914573,-77.30898669915922,5872.4,0,0.0,False,21
Swansboro Elementary,review_recommended,Onslow,Regular School,None,Traditional,34.704299921805834,-77.15249601707444,15478.2,0,0.0,False,21
Swansboro High,review_recommended,Onslow,Regular School,None,Traditional,34.69847854376174,-77.15475333656582,15346.3,0,0.0,False,21
Richlands Elementary,review_recommended,Onslow,Regular School,None,Traditional,34.89958419430938,-77.54258028947507,14823.7,0,0.0,False,21
Richlands High,review_recommended,Onslow,Regular School,None,Traditional,34.89206617232658,-77.54428174764823,14299.7,0,0.0,False,21
Summersill Elementary,review_recommended,Onslow,Regular School,None,Traditional,34.81294475676809,-77.46663379714694,3108.2,0,0.0,True,21
Trexler Middle,review_recommended,Onslow,Regular School,None,Traditional,34.898688249783895,-77.54031801448065,14614.7,0,0.0,False,21
Central Elementary,review_recommended,Pasquotank,Regular School,None,Traditional,36.28817335898916,-76.26289190288382,136144.1,0,0.0,False,21
Weeksville Elementary,review_recommended,Pasquotank,Regular School,None,Traditional,36.205245549061836,-76.16770806192812,143236.5,0,0.0,False,21
Parkton Elementary,ok,Robeson,Regular School,None,Traditional,34.90354695943552,-79.00672184447907,91016.6,0,0.0,False,21
Saint Pauls Elementary,ok,Robeson,Regular School,None,Traditional,34.807519279969924,-78.9619104105204,101087.1,0,0.0,False,21
RexRennert Elementary,review_recommended,Robeson,Regular School,None,Traditional,34.84373285738944,-79.08888024929337,98908.9,0,0.0,False,21
South Robeson High,review_recommended,Robeson,Regular School,None,Traditional,34.54510916662323,-79.25434369651676,124514.0,0,0.0,False,21
Southside/Ashpole Elem,review_recommended,Robeson,Regular School,None,Traditional,34.53242571850561,-79.2979280291134,128034.7,0,0.0,False,21
Fairmont High,review_recommended,Robeson,Regular School,None,Traditional,34.47899725909729,-79.09510674288384,108536.2,0,0.0,False,21
Orrum Middle,review_recommended,Robeson,Regular School,None,Traditional,34.464493934220044,-79.01039815307074,100593.5,0,0.0,False,21
Long Branch Elementary,ok,Robeson,Regular School,None,Traditional,34.53821204598037,-78.95797248147416,98260.6,0,0.0,False,21
East Robeson Primary,ok,Robeson,Regular School,None,Traditional,34.624618713030664,-78.9238832988545,98922.4,0,0.0,False,21
Littlefield Middle,ok,Robeson,Regular School,None,Traditional,34.645330926222336,-78.91658623359397,99305.4,0,0.0,False,21
Purnell Swett High,ok,Robeson,Regular School,None,Traditional,34.69531499581381,-79.24655182598111,114058.7,0,0.0,False,21
Pembroke Elementary,review_recommended,Robeson,Regular School,None,Traditional,34.67486726527897,-79.19385804187081,118165.4,0,0.0,False,21
Pembroke Middle,review_recommended,Robeson,Regular School,None,Traditional,34.674743615122324,-79.21026217758596,117526.6,0,0.0,False,21
R B Dean Elementary,review_recommended,Robeson,Regular School,None,Traditional,34.73257665305367,-79.3448141617185,106777.4,0,0.0,False,21
Oxendine Elementary,review_recommended,Robeson,Regular School,None,Traditional,34.8056470442402,-79.25813748580055,102552.1,0,0.0,False,21
W H Knuckles,review_recommended,Robeson,Regular School,None,Traditional,34.61065667907376,-79.02218783993543,106589.3,0,0.0,False,21
Union Elementary,ok,Robeson,Regular School,None,Traditional,34.635401007146555,-79.24694235820505,120131.0,0,0.0,False,21
Magnolia Elementary,review_recommended,Robeson,Regular School,None,Traditional,34.71145812520143,-79.00361314820302,109738.6,0,0.0,False,21
Piney Grove Elementary,review_recommended,Robeson,Regular School,None,Traditional,34.68669746082076,-79.0383546392433,111350.3,0,0.0,False,21
Robeson Co Career Ctr,review_recommended,Robeson,Vocational Education,None,Traditional,34.590459927159955,-79.1230749054452,114473.9,0,0.0,False,21
Salemburg Elementary,review_recommended,Sampson,Regular School,None,Traditional,35.01471852643468,-78.49775849623589,58403.4,0,0.0,False,21
Roseboro Elementary,ok,Sampson,Regular School,None,Traditional,34.955015458477206,-78.52343899225991,64561.9,0,0.0,False,21
Tyrrell Elementary,ok,Tyrrell,Regular School,None,Traditional,35.91387657168886,-76.24270800284857,114885.7,0,0.0,False,21
South Warren Elementary,review_recommended,Warren,Regular School,None,Traditional,36.32005421181723,-78.19948428381012,17533.2,0,0.0,False,21
Northside Elementary,review_recommended,Warren,Regular School,None,Year Round,36.45671701572502,-78.18468463459763,22656.2,0,0.0,False,21
Vaughan Elementary,review_recommended,Warren,Regular School,None,Traditional,36.421526364769385,-77.99880553160848,36550.1,0,0.0,False,21
Warren County High,review_recommended,Warren,Regular School,None,Traditional,36.43251374539797,-78.165708782217,22795.9,0,0.0,False,21
Warren County Middle,review_recommended,Warren,Regular School,None,Traditional,36.431206827614055,-78.17090708654679,22313.1,0,0.0,False,21
Creswell High,review_recommended,Washington,Regular School,None,Traditional,35.86893239203254,-76.39605864404692,102471.6,0,0.0,False,21
Pines Elementary,ok,Washington,Regular School,None,Traditional,35.87287238902022,-76.69281366110913,89219.1,0,0.0,False,21
Washington County Union,review_recommended,Washington,Regular School,None,Traditional,35.871186197958664,-76.61019684133662,92416.7,0,0.0,False,21
Plymouth High,ok,Washington,Regular School,None,Traditional,35.87036997953577,-76.73921694262735,87299.3,0,0.0,False,21
Aurelian Springs Elementary,review_recommended,Halifax,Regular School,None,Traditional,36.36363723069021,-77.80761487246247,33429.5,0,0.0,False,21
Scotland Neck Primary,ok,Halifax,Regular School,None,Traditional,36.126984648340446,-77.42821850030262,29854.8,0,0.0,False,21
Hollister Elementary,review_recommended,Halifax,Regular School,None,Traditional,36.2576393743605,-77.94217862725054,24312.5,0,0.0,False,21
Southeast Halifax High,review_recommended,Halifax,Regular School,None,Traditional,36.21944679320152,-77.55076911135099,25788.1,0,0.0,False,21
Enfield Middle,review_recommended,Halifax,Regular School,None,Traditional,36.17732315860874,-77.69725925431054,14890.7,0,0.0,False,21
Northwest High,review_recommended,Halifax,Regular School,None,Traditional,36.38794303007629,-77.79000211596457,36207.4,0,0.0,False,21
Everetts Elementary,review_recommended,Halifax,Regular School,None,Traditional,36.44304937272603,-77.75866655943558,42580.4,0,0.0,False,21
Pittman Elementary,review_recommended,Halifax,Regular School,None,Traditional,36.264269527291574,-77.7427206354584,23415.0,0,0.0,False,21
William R Davie Middle,review_recommended,Halifax,Regular School,None,Traditional,36.44487898859951,-77.74552275963892,42948.4,0,0.0,False,21
Anderson Creek Primary,ok,Harnett,Regular School,None,Traditional,35.282243090894255,-78.91752753084235,48288.0,0,0.0,False,21
South Harnett Elementary,review_recommended,Harnett,Regular School,None,Traditional,35.29798138108363,-78.89455469250662,46335.8,0,0.0,False,21
Angier Elementary,review_recommended,Harnett,Regular School,None,Traditional,35.503951991727604,-78.7358091231084,25532.6,0,0.0,False,21
LaFayette Elementary,review_recommended,Harnett,Regular School,None,Traditional,35.49552265830871,-78.81225838087175,24496.6,0,0.0,False,21
North Harnett Primary,review_recommended,Harnett,Regular School,None,Traditional,35.4779628969437,-78.77953546792449,26978.8,0,0.0,False,21
Johnsonville Elementary,review_recommended,Harnett,Regular School,None,Traditional,35.30017380598903,-79.09868619368117,50974.7,0,0.0,False,21
Benhaven Elementary,review_recommended,Harnett,Regular School,None,Traditional,35.3591806355908,-79.09377779758047,44939.9,0,0.0,False,21
Boone Trail Elementary,ok,Harnett,Regular School,None,Traditional,35.41785480538541,-78.9604983849102,34254.3,0,0.0,False,21
Buies Creek Elementary,review_recommended,Harnett,Regular School,None,Traditional,35.41181819875269,-78.73605840218976,35110.2,0,0.0,False,21
Coats Elementary,ok,Harnett,Regular School,None,Traditional,35.4134386972037,-78.6720122237732,36958.8,0,0.0,False,21
Gentry Primary,review_recommended,Harnett,Regular School,None,Traditional,35.33765549046341,-78.67067381112561,44845.2,0,0.0,False,21
Triton High,review_recommended,Harnett,Regular School,None,Traditional,35.33852819941954,-78.66507062817251,44943.0,0,0.0,False,21
Hawk Eye Elementary,review_recommended,Hoke,Regular School,None,Traditional,34.914957324952844,-79.26475499396977,91572.3,0,0.0,False,21
West Hoke Middle,review_recommended,Hoke,Regular School,None,Traditional,34.98597802391159,-79.24801432834575,85645.0,0,0.0,False,21
East Hoke Middle,review_recommended,Hoke,Regular School,None,Traditional,35.00605369438264,-79.17105280199104,83657.2,0,0.0,False,21
Cameron Elementary,ok,Moore,Regular School,None,Traditional,35.32638600516922,-79.26620250125275,56518.9,0,0.0,False,21
Carthage Elementary,review_recommended,Moore,Regular School,None,Traditional,35.34092563167882,-79.41637859047331,45158.2,0,0.0,False,21
